>NODE_1_length_489856_cov_8.332587	489856	8.332587
>NODE_2_length_468307_cov_8.954830	468307	8.954830
>NODE_3_length_460222_cov_8.835066	460222	8.835066
>NODE_4_length_432255_cov_8.768225	432255	8.768225
>NODE_5_length_352739_cov_8.419214	352739	8.419214
>NODE_6_length_334090_cov_7.753965	334090	7.753965
>NODE_7_length_273013_cov_8.671242	273013	8.671242
>NODE_8_length_255274_cov_7.609536	255274	7.609536
>NODE_9_length_253666_cov_7.008492	253666	7.008492
>NODE_10_length_230325_cov_7.917775	230325	7.917775
>NODE_11_length_213892_cov_7.934216	213892	7.934216
>NODE_12_length_207869_cov_6.973997	207869	6.973997
>NODE_13_length_195508_cov_8.764542	195508	8.764542
>NODE_14_length_187323_cov_8.738481	187323	8.738481
>NODE_15_length_182951_cov_7.363893	182951	7.363893
>NODE_16_length_168584_cov_7.414291	168584	7.414291
>NODE_17_length_148554_cov_8.806462	148554	8.806462
>NODE_18_length_145425_cov_7.418196	145425	7.418196
>NODE_19_length_133461_cov_8.643403	133461	8.643403
>NODE_20_length_124081_cov_8.003695	124081	8.003695
>NODE_21_length_103352_cov_10.011827	103352	10.011827
>NODE_22_length_102994_cov_7.785886	102994	7.785886
>NODE_23_length_101930_cov_7.840968	101930	7.840968
>NODE_24_length_101710_cov_7.672871	101710	7.672871
>NODE_25_length_93264_cov_7.568826	93264	7.568826
>NODE_26_length_92098_cov_7.136299	92098	7.136299
>NODE_27_length_83513_cov_8.555536	83513	8.555536
>NODE_28_length_81820_cov_7.722379	81820	7.722379
>NODE_29_length_61188_cov_8.173225	61188	8.173225
>NODE_30_length_57691_cov_7.373797	57691	7.373797
>NODE_31_length_54016_cov_6.477393	54016	6.477393
>NODE_32_length_47877_cov_11.378513	47877	11.378513
>NODE_33_length_44014_cov_7.612810	44014	7.612810
>NODE_34_length_42054_cov_7.992701	42054	7.992701
>NODE_35_length_41457_cov_7.424264	41457	7.424264
>NODE_36_length_39378_cov_7.949403	39378	7.949403
>NODE_37_length_32690_cov_7.073212	32690	7.073212
>NODE_38_length_30811_cov_8.458545	30811	8.458545
>NODE_39_length_26708_cov_7.610323	26708	7.610323
>NODE_40_length_25337_cov_8.961166	25337	8.961166
>NODE_41_length_24058_cov_7.601905	24058	7.601905
>NODE_42_length_20160_cov_9.294514	20160	9.294514
>NODE_43_length_17083_cov_10.312928	17083	10.312928
>NODE_44_length_13213_cov_7.314205	13213	7.314205
>NODE_45_length_8868_cov_8.455440	8868	8.455440
>NODE_46_length_3559_cov_14.119172	3559	14.119172
>NODE_47_length_2925_cov_6.749464	2925	6.749464
>NODE_48_length_1071_cov_5.239566	1071	5.239566
>NODE_49_length_1033_cov_7.030905	1033	7.030905
>NODE_50_length_1022_cov_5.259218	1022	5.259218
>NODE_51_length_999_cov_9.625000	999	9.625000
>NODE_52_length_963_cov_15.418660	963	15.418660
>NODE_53_length_789_cov_5.370091	789	5.370091
>NODE_54_length_673_cov_1.254579	673	1.254579
>NODE_55_length_650_cov_4.560229	650	4.560229
>NODE_56_length_601_cov_0.934599	601	0.934599
>NODE_57_length_601_cov_0.900634	601	0.900634
>NODE_58_length_571_cov_0.898649	571	0.898649
>NODE_59_length_537_cov_8.990244	537	8.990244
>NODE_60_length_504_cov_0.978780	504	0.978780
>NODE_61_length_499_cov_0.929919	499	0.929919
>NODE_62_length_496_cov_0.937669	496	0.937669
>NODE_63_length_495_cov_0.937500	495	0.937500
>NODE_64_length_494_cov_0.937158	494	0.937158
>NODE_65_length_487_cov_1.016667	487	1.016667
>NODE_66_length_486_cov_1.097493	486	1.097493
>NODE_67_length_485_cov_0.958217	485	0.958217
>NODE_68_length_485_cov_0.958217	485	0.958217
>NODE_69_length_481_cov_0.944134	481	0.944134
>NODE_70_length_484_cov_1.002801	484	1.002801
>NODE_71_length_481_cov_0.974576	481	0.974576
>NODE_72_length_480_cov_0.977337	480	0.977337
>NODE_73_length_479_cov_0.982906	479	0.982906
>NODE_74_length_477_cov_0.985714	477	0.985714
>NODE_75_length_473_cov_0.933526	473	0.933526
>NODE_76_length_471_cov_0.941860	471	0.941860
>NODE_77_length_469_cov_1.008772	469	1.008772
>NODE_78_length_469_cov_1.008798	469	1.008798
>NODE_79_length_465_cov_1.020710	465	1.020710
>NODE_80_length_464_cov_0.946588	464	0.946588
>NODE_81_length_462_cov_0.952381	462	0.952381
>NODE_82_length_459_cov_1.026866	459	1.026866
>NODE_83_length_459_cov_1.638554	459	1.638554
>NODE_84_length_459_cov_0.912651	459	0.912651
>NODE_85_length_458_cov_1.039275	458	1.039275
>NODE_86_length_458_cov_1.021148	458	1.021148
>NODE_87_length_458_cov_1.045455	458	1.045455
>NODE_88_length_457_cov_0.936364	457	0.936364
>NODE_89_length_456_cov_2.024316	456	2.024316
>NODE_90_length_454_cov_0.929664	454	0.929664
>NODE_91_length_453_cov_2.276074	453	2.276074
>NODE_92_length_453_cov_1.000000	453	1.000000
>NODE_93_length_452_cov_0.926380	452	0.926380
>NODE_94_length_452_cov_1.000000	452	1.000000
>NODE_95_length_452_cov_0.969231	452	0.969231
>NODE_96_length_452_cov_0.963077	452	0.963077
>NODE_97_length_451_cov_1.055556	451	1.055556
>NODE_98_length_451_cov_1.006173	451	1.006173
>NODE_99_length_451_cov_0.987654	451	0.987654
>NODE_100_length_450_cov_1.065015	450	1.065015
>NODE_101_length_449_cov_0.975155	449	0.975155
>NODE_102_length_449_cov_0.928571	449	0.928571
>NODE_103_length_448_cov_1.071651	448	1.071651
>NODE_104_length_447_cov_1.053125	447	1.053125
>NODE_105_length_447_cov_0.981250	447	0.981250
>NODE_106_length_439_cov_1.092063	439	1.092063
>NODE_107_length_436_cov_0.869427	436	0.869427
>NODE_108_length_439_cov_1.092949	439	1.092949
>NODE_109_length_438_cov_0.877814	438	0.877814
>NODE_110_length_431_cov_1.093548	431	1.093548
>NODE_111_length_436_cov_1.135922	436	1.135922
>NODE_112_length_435_cov_1.110390	435	1.110390
>NODE_113_length_433_cov_0.714286	433	0.714286
>NODE_114_length_433_cov_0.918301	433	0.918301
>NODE_115_length_433_cov_0.859477	433	0.859477
>NODE_116_length_431_cov_0.836066	431	0.836066
>NODE_117_length_431_cov_1.082237	431	1.082237
>NODE_118_length_429_cov_1.033003	429	1.033003
>NODE_119_length_426_cov_0.930233	426	0.930233
>NODE_120_length_381_cov_8.255906	381	8.255906
>NODE_121_length_377_cov_6.848000	377	6.848000
>NODE_122_length_330_cov_6.798030	330	6.798030
>NODE_123_length_319_cov_9.020833	319	9.020833
>NODE_124_length_293_cov_3.566265	293	3.566265
>NODE_125_length_270_cov_7.265734	270	7.265734
>NODE_126_length_270_cov_4.370629	270	4.370629
>NODE_127_length_265_cov_2.442029	265	2.442029
>NODE_128_length_255_cov_6.875000	255	6.875000
>NODE_129_length_255_cov_5.554688	255	5.554688
>NODE_130_length_255_cov_4.742188	255	4.742188
>NODE_131_length_255_cov_4.617188	255	4.617188
>NODE_132_length_255_cov_4.359375	255	4.359375
>NODE_133_length_250_cov_25.113821	250	25.113821
>NODE_134_length_236_cov_19.678899	236	19.678899
>NODE_135_length_198_cov_8.394366	198	8.394366
>NODE_136_length_195_cov_5.382353	195	5.382353
>NODE_137_length_190_cov_6.269841	190	6.269841
>NODE_138_length_189_cov_8.758065	189	8.758065
>NODE_139_length_174_cov_2.042553	174	2.042553
>NODE_140_length_170_cov_14.651163	170	14.651163
>NODE_141_length_166_cov_2.692308	166	2.692308
>NODE_142_length_151_cov_7.250000	151	7.250000
>NODE_143_length_145_cov_17.055556	145	17.055556
>NODE_144_length_141_cov_14.785714	141	14.785714
>NODE_145_length_141_cov_5.714286	141	5.714286
>NODE_146_length_141_cov_4.214286	141	4.214286
>NODE_147_length_129_cov_17.000000	129	17.000000
>NODE_148_length_128_cov_1536.000000	128	1536.000000
>NODE_149_length_128_cov_150.000000	128	150.000000
